Symbol,Name,AUM ,Total Returns,Votes
VUG,Vanguard Growth ETF,$197B,1234%,
IWF,iShares Russell 1000 Growth ETF,$117.43B,716%,
IVW,iShares S&P 500 Growth ETF,$63.72B,843%,
SCHG,Schwab U.S. Large-Cap Growth ETF,$50.11B,1168%,
SPYG,State Street SPDR Portfolio S&P 500 Growth ETF,$43.62B,550%,
VONG,Vanguard Russell 1000 Growth ETF,$37.45B,1047%,
MGK,Vanguard Mega Cap Growth ETF,$30B,970%,
IUSG,iShares Core S&P U.S. Growth ETF,$26.72B,676%,
VOOG,Vanguard S&P 500 Growth ETF,$22.66B,1040%,
VBK,Vanguard Small-Cap Growth ETF,$20.94B,740%,
IWP,iShares Russell Mid-Cap Growth ETF,$19.63B,1768%,
CGGR,Capital Group Growth ETF,$19.62B,94%,
VOT,Vanguard Mid-Cap Growth ETF,$17.64B,583%,
IWY,iShares Russell Top 200 Growth ETF,$15.37B,1285%,
IWO,iShares Russell 2000 Growth ETF,$13.20B,504%,
EFG,iShares MSCI EAFE Growth ETF,$10.03B,256%,
IJK,iShares S&P Mid-Cap 400 Growth ETF,$9.70B,774%,
CGGO,Capital Group Global Growth Equity ETF,$9.13B,75%,
JGRO,JPMorgan Active Growth ETF,$8.42B,91%,
IJT,iShares S&P Small-Cap 600 Growth ETF,$6.79B,987%,
FBCG,Fidelity Blue Chip Growth ETF,$5.31B,208%,
FELG,Fidelity Enhanced Large Cap Growth ETF,$4.52B,76%,
SLYG,State Street SPDR S&P 600 Small Cap Growth ETF,$3.82B,533%,
IMCG,iShares Morningstar Mid-Cap Growth ETF,$3.23B,1013%,
ILCG,iShares Morningstar Growth ETF,$2.84B,1037%,
MDYG,State Street SPDR S&P 400 Mid Cap Growth ETF,$2.57B,674%,
COWG,Pacer US Large Cap Cash Cows Growth Leaders ETF,$2.30B,100%,
NULG,Nuveen ESG Large-Cap Growth ETF,$2.24B,425%,
QGRO,American Century U.S. Quality Growth ETF,$2.10B,202%,
QGRW,WisdomTree U.S. Quality Growth Fund,$2.09B,177%,
TCHP,T. Rowe Price Blue Chip Growth ETF,$1.74B,100%,
RPG,Invesco S&P 500 Pure Growth ETF,$1.64B,856%,
PWB,Invesco Large Cap Growth ETF,$1.53B,1056%,
IVOG,Vanguard S&P Mid-Cap 400 Growth ETF,$1.47B,544%,
FTGS,First Trust Growth Strength ETF,$1.26B,97%,
